year-month-date,volume,open,high,low,close
2009-08-05,1253191041,36.40,37.50,35.95,36.75
2009-08-06,1572214448,37.30,37.30,35.20,37.20
2009-08-10,1248438783,39.80,39.80,38.00,38.30
2009-08-11,674967456,38.50,38.60,37.25,37.90
2009-08-12,324610466,37.90,38.00,37.00,37.10
2009-08-13,677413184,37.00,37.60,36.65,37.00
2009-08-14,1180544792,37.00,38.20,36.90,38.20
2009-08-17,1108118930,37.20,37.40,36.00,36.00
2009-08-18,623284744,35.70,36.50,35.00,35.40
2009-08-19,514155180,35.50,35.80,34.65,34.65
2009-08-20,495594302,34.65,34.80,33.50,34.60
2009-08-21,802283109,34.70,34.95,33.00,33.10
2009-08-24,654401261,33.85,35.00,33.55,34.60
2009-08-25,386429906,34.60,34.90,34.25,34.70
2009-08-26,366719910,34.70,34.85,33.40,34.10
2009-08-27,417577296,33.80,34.55,33.65,34.15
2009-08-28,437624559,34.50,35.20,34.30,34.90
2009-08-31,589993427,35.10,35.85,34.65,35.70
2009-09-01,526254418,34.95,36.10,34.95,35.75
2009-09-02,474461718,35.40,36.20,35.30,35.50
2009-09-03,494542796,35.50,35.65,34.95,35.50
2009-09-04,241055208,35.50,35.80,35.15,35.40
2009-09-07,315916142,35.65,36.00,35.45,35.80
2009-09-08,973318948,36.10,36.80,35.60,35.60
2009-09-09,940609684,35.95,36.70,35.80,36.35
2009-09-10,738712712,37.80,37.85,36.70,37.20
2009-09-11,291549305,36.80,37.00,36.50,36.70
2009-09-14,463380351,36.35,36.35,35.30,35.95
2009-09-15,155306810,36.20,36.45,35.60,36.35
2009-09-16,504860644,36.40,36.80,35.70,36.00
2009-09-17,391741701,36.00,36.55,35.65,36.00
2009-09-18,353980242,36.20,36.50,35.70,36.50
2009-09-21,194410153,36.90,36.90,35.90,36.50
2009-09-22,434552144,36.50,36.80,36.50,36.50
2009-09-23,271864785,36.75,37.10,35.90,35.95
2009-09-24,530104162,36.10,36.70,35.70,36.00
2009-09-25,360962894,36.00,36.00,35.25,35.50
2009-09-28,299643844,35.20,35.75,35.15,35.20
2009-09-29,226135049,35.40,35.80,35.35,35.70
2009-09-30,292313884,35.70,36.30,35.50,36.10
2009-10-01,706971374,36.50,37.20,36.50,37.20
2009-10-02,723968630,37.00,37.70,36.55,37.00
2009-10-05,424306044,37.00,37.10,36.00,36.40
2009-10-06,377318467,36.80,36.95,36.35,36.60
2009-10-07,433033388,37.15,37.50,36.70,37.50
2009-10-08,429627355,37.80,37.80,36.60,36.60
2009-10-09,279520931,36.95,37.45,36.65,37.20
2009-10-12,268213657,36.50,37.40,36.50,37.20
2009-10-13,590591540,36.50,36.80,36.00,36.40
2009-10-14,400269628,36.20,36.65,36.20,36.65
2009-10-15,216244204,36.70,36.90,36.30,36.70
2009-10-16,212193725,36.90,37.15,36.65,36.85
2009-10-19,272979082,37.15,37.20,36.85,37.20
2009-10-20,581542199,38.20,38.45,37.75,37.75
2009-10-21,264193775,37.95,37.95,37.50,37.65
2009-10-22,479539132,37.60,37.60,36.40,36.50
2009-10-23,259944688,36.50,36.80,36.40,36.50
2009-10-26,195058149,36.75,37.30,36.60,36.80
2009-10-27,431237957,36.60,36.60,35.75,35.90
2009-10-28,818023881,35.85,35.90,34.80,35.00
2009-10-29,551904554,34.50,34.55,33.50,34.45
2009-10-30,208319128,35.00,35.00,34.00,34.00
2009-11-02,356138946,33.60,33.95,33.05,33.60
2009-11-03,347908224,33.60,34.30,33.20,33.85
2009-11-04,326379576,33.85,34.80,33.85,34.75
2009-11-05,208122215,34.65,34.75,34.30,34.35
2009-11-06,278673084,34.70,35.25,34.65,34.90
2009-11-09,397409817,35.45,35.75,35.15,35.20
2009-11-10,381082435,35.50,36.10,35.50,35.80
2009-11-11,258081530,35.80,36.25,35.55,36.10
2009-11-12,268913662,36.15,36.30,35.50,35.80
2009-11-13,146168924,35.80,36.05,35.55,36.00
2009-11-16,299741021,36.00,36.20,35.80,36.20
2009-11-17,290255267,36.50,36.60,35.70,35.80
2009-11-18,172223468,35.50,36.05,35.50,35.65
2009-11-19,467079335,35.40,35.50,35.00,35.20
2009-11-20,480241313,35.20,35.40,34.50,34.85
2009-11-23,169878724,34.85,35.05,34.70,34.95
2009-11-24,136965001,35.20,35.30,35.00,35.30
2009-11-25,285809515,35.35,35.50,34.85,35.00
2009-11-26,327043117,35.40,35.40,34.80,34.85
2009-11-27,541859460,34.50,34.55,33.75,33.75
2009-11-30,419490059,33.80,34.10,33.55,33.55
2009-12-01,552890587,34.90,34.90,34.30,34.65
2009-12-02,800082631,34.80,34.90,33.95,34.10
2009-12-03,312621824,34.20,34.30,33.95,34.10
2009-12-04,538149252,34.00,34.05,33.50,33.70
2009-12-07,319853821,33.80,34.05,33.80,33.95
2009-12-08,336870881,34.05,34.30,33.85,33.85
2009-12-09,251858661,33.65,34.00,33.65,33.95
2009-12-10,881933639,34.35,34.35,33.25,33.50
2009-12-11,323711346,33.80,34.10,33.60,34.05
2009-12-14,272907643,34.00,34.40,34.00,34.25
2009-12-15,454767648,34.40,34.60,34.00,34.05
2009-12-16,408161151,34.00,34.05,33.55,33.65
2009-12-17,407826260,33.95,33.95,33.30,33.50
2009-12-18,301856089,33.15,33.80,33.10,33.80
2009-12-21,213419764,33.80,33.95,33.60,33.70
2009-12-22,319855517,33.90,33.90,33.50,33.60
2009-12-23,351976985,33.60,33.65,33.25,33.40
2009-12-24,568586040,33.35,33.75,33.35,33.60
2009-12-25,238137255,33.70,33.70,33.45,33.65
2009-12-28,734695776,33.80,34.30,33.70,34.20
2009-12-29,348403154,34.30,34.35,33.70,33.85
2009-12-30,341013203,33.95,34.10,33.85,34.00
2009-12-31,349710914,34.10,34.25,33.95,34.00
2010-01-04,283529760,34.00,34.40,33.90,34.30
2010-01-05,1693662333,34.60,35.80,34.50,35.50
2010-01-06,1298754915,35.50,36.40,35.40,36.25
2010-01-07,520883219,36.35,36.40,35.50,35.55
2010-01-08,377286796,35.55,35.80,35.15,35.40
2010-01-11,638075331,35.40,35.80,34.70,34.75
2010-01-12,553628885,34.75,35.25,34.30,34.55
2010-01-13,809471114,34.00,34.25,33.90,34.00
2010-01-14,280367979,34.50,34.50,34.10,34.20
2010-01-15,248945636,34.30,34.45,34.15,34.45
2010-01-18,182387445,34.20,34.40,34.10,34.20
2010-01-19,324909372,34.35,34.75,34.05,34.35
2010-01-20,215865832,34.45,34.50,34.00,34.00
2010-01-21,211476149,34.00,34.15,33.90,33.90
2010-01-22,1679653564,33.55,33.65,31.55,31.80
2010-01-25,678144524,31.50,32.05,30.95,32.00
2010-01-26,972850652,32.00,32.20,30.00,30.40
2010-01-27,633445982,30.70,30.70,29.90,30.05
2010-01-28,347522609,30.20,30.95,30.20,30.50
2010-01-29,669406085,30.10,30.10,29.20,29.85
2010-02-01,694210941,30.05,30.35,29.45,29.50
2010-02-02,404665537,30.00,30.20,29.30,29.55
2010-02-03,250047015,30.05,30.30,29.45,29.85
2010-02-04,114206799,29.85,30.05,29.60,29.95
2010-02-05,365804543,29.10,29.20,28.55,28.55
2010-02-06,158425166,28.60,28.70,27.65,28.45
2010-02-08,185336351,28.35,28.50,28.10,28.30
2010-02-09,252057913,28.15,29.20,28.15,28.80
2010-02-10,511947483,29.15,29.85,28.80,29.40
2010-02-22,356276891,29.75,30.25,29.75,29.80
2010-02-23,275484539,30.00,30.25,29.80,30.10
2010-02-24,276252635,30.00,30.55,29.85,30.40
2010-02-25,418800588,30.40,30.40,29.20,29.40
2010-02-26,227225932,29.25,29.75,29.25,29.60
2010-03-01,296587120,29.85,30.50,29.60,30.10
2010-03-02,263847498,30.55,30.55,30.00,30.25
2010-03-03,293653797,30.40,30.75,30.30,30.40
2010-03-04,399468890,30.80,31.10,29.85,30.05
2010-03-05,400520017,30.35,30.60,29.65,29.95
2010-03-08,431825704,30.00,30.20,29.70,29.75
2010-03-09,215883287,29.75,29.90,29.60,29.70
2010-03-10,315185687,29.70,29.75,29.50,29.70
2010-03-11,233049750,29.85,29.90,29.65,29.65
2010-03-12,219360648,29.65,29.70,29.35,29.45
2010-03-15,315450963,29.60,30.20,29.20,29.20
2010-03-16,195708693,29.65,29.65,29.00,29.20
2010-03-17,462603795,29.60,29.70,29.15,29.40
2010-03-18,630000346,29.60,29.65,29.35,29.45
2010-03-19,357047703,29.65,29.85,29.40,29.85
2010-03-22,309729461,30.00,30.00,29.25,29.30
2010-03-23,336280181,29.45,29.50,29.05,29.05
2010-03-24,413604520,29.50,29.80,29.35,29.45
2010-03-25,321012957,29.55,29.70,29.25,29.55
2010-03-26,435239188,29.50,29.65,29.20,29.45
2010-03-29,593376547,29.50,30.00,29.45,30.00
2010-03-30,392411471,30.20,30.20,29.80,30.05
2010-03-31,299211325,30.10,30.10,29.70,29.95
2010-04-01,813468072,30.00,30.15,29.90,29.95
2010-04-02,361666060,30.15,30.25,29.95,30.15
2010-04-06,360235820,30.20,30.25,30.00,30.05
2010-04-07,352379050,30.05,30.20,29.70,30.00
2010-04-08,532606424,30.00,30.15,29.50,29.60
2010-04-09,165715290,29.60,29.80,29.55,29.65
2010-04-12,464616181,30.00,30.15,29.70,29.80
2010-04-13,198065324,29.80,30.00,29.65,29.80
2010-04-14,223688866,29.90,30.00,29.65,29.85
2010-04-15,646547965,30.05,30.40,30.00,30.40
2010-04-16,536073440,30.50,30.55,30.00,30.05
2010-04-19,629517318,29.80,29.85,28.70,28.80
2010-04-20,546182995,29.00,29.10,28.55,28.60
2010-04-21,691303568,28.65,28.90,28.25,28.45
2010-04-22,574092235,28.35,28.35,28.00,28.10
2010-04-23,741490322,28.10,28.20,27.80,27.80
2010-04-26,540631558,28.20,28.85,28.20,28.80
2010-04-27,345418509,28.80,28.80,28.35,28.50
2010-04-28,423506092,27.90,28.35,27.90,28.20
2010-04-29,253965224,28.40,28.40,28.00,28.30
2010-04-30,308926918,28.55,28.65,28.20,28.30
2010-05-03,356335267,28.30,28.45,27.85,28.30
2010-05-04,619047897,28.35,28.45,27.55,27.60
2010-05-05,1195520466,26.90,26.90,25.70,26.30
2010-05-06,673938402,26.30,26.40,25.50,25.55
2010-05-07,407056609,24.60,25.40,24.60,25.40
2010-05-10,641351276,25.50,27.10,25.50,26.60
2010-05-11,404005354,26.80,27.05,26.20,26.20
2010-05-12,162983823,26.40,26.60,26.20,26.20
2010-05-13,264709881,26.70,27.00,26.50,26.90
2010-05-14,96987021,26.80,26.90,26.65,26.90
2010-05-17,190844131,26.65,26.70,26.10,26.30
2010-05-18,152514651,26.40,26.55,26.25,26.45
2010-05-19,289179285,26.35,27.10,26.15,27.10
2010-05-20,327463702,27.10,27.20,26.45,26.75
2010-05-21,313340653,26.05,26.15,25.60,25.95
2010-05-24,187335008,26.00,26.80,26.00,26.60
2010-05-25,295203022,26.10,26.35,25.50,25.50
2010-05-26,370777714,25.80,26.30,25.60,25.85
2010-05-27,310761219,26.40,27.10,26.00,26.85
2010-05-28,269322416,27.20,27.35,26.80,27.00
2010-05-31,211860081,27.30,27.35,27.00,27.35
2010-06-01,202865239,27.30,27.45,27.05,27.35
2010-06-02,180976180,27.15,27.35,26.85,27.00
